timestamp,speed,speed_deviation,area,area_deviation,frames,seconds,direction,max_dba
2024-02-01 06:14:04.417,54,2,2012,198,6,0.60,RTL,86.33
2024-02-01 06:14:36.628,43,2,15260,10083,5,0.50,LTR,84.55
2024-02-01 06:15:51.448,33,3,67528,56563,8,0.80,RTL,87.31
2024-02-01 06:18:23.392,58,1,2080,138,5,0.50,RTL,87.08
2024-02-01 06:21:41.593,48,4,2266,695,5,0.50,RTL,88.35
2024-02-01 06:21:44.942,51,1,2978,154,6,0.60,RTL,85.85
2024-02-01 06:21:47.069,40,5,3140,1880,7,0.76,RTL,84.02
2024-02-01 06:22:37.517,43,3,2912,591,6,0.60,RTL,80.71
2024-02-01 06:25:53.146,57,1,2594,763,5,0.53,RTL,83.78
2024-02-01 06:27:13.491,66,1,4274,482,4,0.40,RTL,87.07
2024-02-01 06:27:28.980,56,1,4987,1664,5,0.50,RTL,87.33
2024-02-01 06:29:37.481,42,3,3692,3125,6,0.60,RTL,85.03
2024-02-01 06:29:57.877,58,1,2278,216,5,0.50,RTL,87.88
2024-02-01 06:31:12.199,53,1,3460,1188,4,0.40,LTR,87.57
2024-02-01 06:31:13.149,50,1,2866,32,4,0.40,RTL,91.74
2024-02-01 06:31:59.277,54,1,2246,566,4,0.40,LTR,86.57
2024-02-01 06:32:02.578,54,2,3830,2104,4,0.40,LTR,85.8
2024-02-01 06:32:22.593,46,1,6315,2645,7,0.72,RTL,83.49
2024-02-01 06:32:37.993,60,2,2334,334,4,0.40,LTR,85.81
2024-02-01 06:32:44.711,57,0,2710,508,5,0.50,RTL,85.55
2024-02-01 06:33:21.971,61,8,19012,12313,5,0.50,RTL,85.55
2024-02-01 06:33:25.971,37,4,2768,347,5,0.50,RTL,84.53
2024-02-01 06:33:46.337,32,5,13880,3184,11,1.10,RTL,86.05
2024-02-01 06:35:05.961,43,1,2491,841,4,0.40,LTR,89.97
2024-02-01 06:35:12.159,50,1,2049,294,4,0.40,LTR,87.07
2024-02-01 06:35:37.649,48,1,4338,2194,4,0.40,LTR,86.57
2024-02-01 06:36:26.702,48,4,2357,834,6,0.62,RTL,85.54
2024-02-01 06:37:03.839,51,4,3834,745,6,0.63,RTL,85.03
2024-02-01 06:37:41.253,51,1,2597,91,5,0.50,RTL,81.96
2024-02-01 06:37:51.149,48,1,2163,427,4,0.40,LTR,82.95
2024-02-01 06:37:56.794,47,2,2922,1238,5,0.50,LTR,85.8
2024-02-01 06:38:47.774,54,1,2305,196,4,0.40,LTR,92.03
2024-02-01 06:38:49.398,56,2,6074,1086,4,0.39,LTR,88.87
2024-02-01 06:41:17.171,48,1,2454,192,4,0.40,LTR,85.03
2024-02-01 06:42:37.787,45,2,2092,215,6,0.62,RTL,83.47
2024-02-01 06:43:02.677,45,1,3999,1308,4,0.40,LTR,82.68
2024-02-01 06:44:20.548,48,0,3892,666,4,0.40,LTR,88.85
2024-02-01 06:45:39.293,46,2,16065,4149,6,0.59,RTL,84.02
2024-02-01 06:45:41.169,38,3,6095,2728,7,0.72,RTL,81.21
2024-02-01 06:45:54.317,50,7,14467,7038,6,0.60,RTL,87.07
2024-02-01 06:46:00.717,53,1,16131,459,5,0.51,RTL,88.13
2024-02-01 06:46:16.985,42,1,21829,9610,7,0.73,RTL,81.95
2024-02-01 06:46:43.044,40,2,41605,9292,5,0.50,LTR,86.58
2024-02-01 06:46:50.291,57,7,34498,1586,4,0.40,LTR,87.58
2024-02-01 06:46:55.714,50,12,35494,1636,4,0.40,LTR,86.56
2024-02-01 06:46:57.363,47,1,15888,2315,7,0.73,RTL,86.05
2024-02-01 06:47:03.715,43,3,27566,5928,7,0.70,RTL,84.53
2024-02-01 06:47:06.764,51,0,46040,7730,4,0.40,LTR,89.13
2024-02-01 06:47:08.534,46,6,29816,5539,5,0.50,LTR,86.32
2024-02-01 06:47:21.754,51,1,41040,7720,4,0.40,LTR,88.12
2024-02-01 06:47:31.525,47,2,21842,330,6,0.60,RTL,87.87
2024-02-01 06:47:56.620,62,2,30174,564,4,0.40,RTL,90.96
2024-02-01 06:48:19.961,51,1,31334,1802,4,0.40,LTR,88.37
2024-02-01 06:48:31.510,57,2,37510,5306,4,0.43,LTR,89.13
2024-02-01 06:48:57.850,49,2,31790,6100,6,0.61,RTL,87.07
2024-02-01 06:49:11.962,44,1,23298,1961,6,0.60,RTL,86.81
2024-02-01 06:49:26.806,41,1,36815,2951,5,0.50,LTR,84.29
2024-02-01 06:49:37.956,50,1,36938,3834,5,0.50,RTL,88.39
2024-02-01 06:49:42.025,46,2,26974,1601,6,0.60,RTL,85.03
2024-02-01 06:50:04.092,45,9,25865,493,6,0.62,RTL,84.3
2024-02-01 06:50:23.967,44,1,50561,6605,4,0.43,LTR,86.06
2024-02-01 06:51:02.095,56,1,37040,656,4,0.40,LTR,87.88
2024-02-01 06:51:10.992,49,1,53804,11600,4,0.40,LTR,85.54
2024-02-01 06:51:23.937,50,2,27588,2784,6,0.59,RTL,85.81
2024-02-01 06:51:40.834,54,2,43545,1965,4,0.40,LTR,86.32
2024-02-01 06:51:47.882,53,2,35813,1236,5,0.52,RTL,89.15
2024-02-01 06:52:21.342,48,3,22398,2575,6,0.60,RTL,81.95
2024-02-01 06:53:22.642,50,1,30634,1566,4,0.42,LTR,82.98
2024-02-01 06:53:28.838,40,2,28466,5881,7,0.70,RTL,86.83
2024-02-01 06:54:16.495,50,2,25916,2419,6,0.60,RTL,85.82
2024-02-01 06:54:23.667,50,2,23738,2008,6,0.60,RTL,83.77
2024-02-01 06:54:57.829,56,1,60890,13820,4,0.40,LTR,90.25
2024-02-01 06:55:11.499,59,0,54757,451,4,0.40,LTR,88.4
2024-02-01 06:55:25.300,56,1,30618,584,5,0.51,RTL,84.55
2024-02-01 06:56:42.514,46,1,26135,743,6,0.60,RTL,82.35
2024-02-01 06:56:46.219,46,1,27683,1081,6,0.61,RTL,89.4
2024-02-01 06:56:51.386,55,0,55048,11876,4,0.39,LTR,88.65
2024-02-01 06:57:16.251,38,1,39564,9698,6,0.60,LTR,81.71
2024-02-01 06:57:34.369,59,2,24443,1362,5,0.49,RTL,87.59
2024-02-01 06:58:06.082,60,2,26427,364,5,0.50,RTL,87.07
2024-02-01 06:59:05.585,52,1,28096,861,6,0.59,RTL,85.57
2024-02-01 06:59:15.580,47,0,37365,5247,5,0.50,LTR,83.23
2024-02-01 06:59:23.602,53,1,51796,20492,4,0.40,LTR,86.33
2024-02-01 06:59:40.099,46,1,25276,1680,6,0.60,RTL,85.47
2024-02-01 06:59:58.264,49,2,25676,4032,6,0.59,RTL,83.78
2024-02-01 07:00:16.358,48,1,52510,5858,4,0.40,LTR,86.08
2024-02-01 07:00:25.085,47,1,39694,3982,5,0.51,LTR,85.05
2024-02-01 07:00:39.199,51,1,27340,3290,6,0.60,RTL,88.16
2024-02-01 07:00:55.743,62,1,51752,9166,4,0.40,LTR,89.66
2024-02-01 07:01:08.013,48,1,29754,848,5,0.53,RTL,85.03
2024-02-01 07:01:16.285,44,1,27796,863,6,0.60,RTL,81.23
2024-02-01 07:01:30.754,68,2,44529,6486,5,0.50,RTL,90.97
2024-02-01 07:02:35.106,43,1,53352,21874,6,0.62,RTL,90.48
2024-02-01 07:02:37.385,49,1,60566,16319,5,0.51,RTL,87.87
2024-02-01 07:02:44.909,45,1,42703,5831,5,0.68,RTL,84.03
2024-02-01 07:03:15.364,54,1,74849,49,4,0.39,LTR,91.74
2024-02-01 07:03:51.228,47,1,72843,1107,4,0.40,LTR,85.03
2024-02-01 07:03:52.775,48,1,65444,10236,4,0.40,LTR,86.6
2024-02-01 07:04:17.790,54,1,48447,5217,4,0.39,LTR,87.32
2024-02-01 07:05:11.351,52,1,23971,1793,6,0.61,RTL,84.28
2024-02-01 07:05:35.060,47,2,26637,2850,6,0.60,RTL,82.97
2024-02-01 07:05:41.286,50,2,32297,2064,6,0.60,RTL,84.02
2024-02-01 07:06:09.429,58,2,29903,670,5,0.51,RTL,86.07
2024-02-01 07:07:02.635,44,0,67613,12539,4,0.41,LTR,84.05
2024-02-01 07:07:03.777,42,0,52470,2970,4,0.40,LTR,84.78
2024-02-01 07:07:05.126,42,0,70270,2062,4,0.40,LTR,86.06
2024-02-01 07:08:01.856,49,1,23880,506,4,0.40,RTL,88.15
2024-02-01 07:08:03.955,52,1,32423,247,5,0.52,RTL,89.15
2024-02-01 07:08:38.365,55,1,71634,13880,4,0.39,LTR,89.97
2024-02-01 07:08:57.533,49,2,28459,2070,6,0.62,RTL,81.48
2024-02-01 07:09:19.026,50,2,73678,5270,4,0.43,LTR,89.42
2024-02-01 07:09:26.824,47,0,61423,7359,5,0.53,LTR,87.07
2024-02-01 07:09:38.492,51,1,73428,13920,4,0.40,LTR,86.83
2024-02-01 07:09:41.041,54,1,35648,4502,5,0.50,RTL,88.65
2024-02-01 07:10:26.654,53,1,54924,428,4,0.40,LTR,88.65
2024-02-01 07:10:34.595,52,0,55711,226,4,0.40,LTR,86.06
2024-02-01 07:10:36.377,57,2,28233,2152,6,0.61,RTL,91.5
2024-02-01 07:10:37.944,48,0,57765,815,4,0.40,LTR,88.14
2024-02-01 07:10:39.420,45,1,70730,13760,4,0.43,LTR,89.97
2024-02-01 07:11:16.779,51,1,21469,949,5,0.50,RTL,86.58
2024-02-01 07:12:02.910,51,2,23239,2814,6,0.62,RTL,85.55
2024-02-01 07:12:04.061,52,2,29066,797,5,0.52,RTL,86.57
2024-02-01 07:12:17.480,54,1,26020,1437,6,0.60,RTL,88.9
2024-02-01 07:12:28.676,50,2,23906,1131,6,0.62,RTL,86.06
2024-02-01 07:13:01.537,47,1,40566,7255,6,0.60,RTL,87.9
2024-02-01 07:13:02.892,45,1,26077,757,5,0.57,RTL,85.03
2024-02-01 07:13:05.962,52,1,31478,1846,6,0.60,RTL,87.6
2024-02-01 07:13:27.728,56,1,57022,2622,4,0.40,LTR,87.35
2024-02-01 07:13:42.852,54,0,59646,2654,4,0.41,LTR,90.98
2024-02-01 07:14:09.839,44,1,26262,4150,7,0.70,RTL,83.76
2024-02-01 07:14:12.339,48,2,31883,1016,6,0.60,RTL,86.08
2024-02-01 07:14:13.186,53,0,54294,2286,4,0.40,LTR,87.33
2024-02-01 07:14:34.777,54,1,24564,895,5,0.50,RTL,85.57
2024-02-01 07:15:30.455,56,2,27938,2089,5,0.50,RTL,89.13
2024-02-01 07:16:00.299,47,1,27020,3332,6,0.61,RTL,85.3
2024-02-01 07:16:12.790,49,1,88304,17428,4,0.40,LTR,90.22
2024-02-01 07:16:16.888,45,0,56835,810,4,0.40,LTR,87.88
2024-02-01 07:16:19.241,51,2,37935,7354,6,0.60,RTL,89.97
2024-02-01 07:16:54.480,45,0,87912,16848,4,0.41,LTR,94.84
2024-02-01 07:17:04.319,56,1,57024,998,4,0.40,LTR,87.35
2024-02-01 07:17:16.240,54,1,26220,977,5,0.52,RTL,87.38
2024-02-01 07:17:22.088,48,0,52454,340,4,0.43,LTR,86.05
2024-02-01 07:17:24.689,47,0,81967,17199,4,0.50,LTR,88.88
2024-02-01 07:17:52.476,60,2,68974,6096,4,0.40,LTR,87.58
2024-02-01 07:18:03.547,55,2,41757,5867,5,0.50,RTL,90.48
2024-02-01 07:18:10.444,50,0,55302,2102,4,0.40,LTR,87.33
2024-02-01 07:18:11.496,49,0,56842,11618,4,0.40,LTR,86.82
2024-02-01 07:18:15.592,57,0,54317,667,4,0.40,LTR,86.32
2024-02-01 07:18:34.891,54,2,28155,2864,6,0.60,RTL,85.82
2024-02-01 07:18:49.579,50,1,56268,24251,6,0.59,RTL,88.88
2024-02-01 07:18:56.106,48,1,29075,2678,6,0.60,RTL,84.03
2024-02-01 07:19:13.844,54,1,23656,5490,5,0.50,RTL,84.54
2024-02-01 07:19:20.070,53,0,58715,6065,4,0.40,LTR,86.57
2024-02-01 07:19:42.960,48,0,56432,11816,4,0.40,LTR,86.33
2024-02-01 07:20:29.342,47,1,98294,15358,4,0.40,LTR,93.55
2024-02-01 07:20:30.996,46,0,72498,3330,4,0.40,LTR,88.39
2024-02-01 07:20:49.634,53,1,88479,20817,4,0.40,LTR,90.98
2024-02-01 07:20:51.517,49,2,24931,3103,6,0.68,RTL,86.33
2024-02-01 07:21:27.695,54,1,53956,706,4,0.40,LTR,87.2
2024-02-01 07:21:52.138,51,1,26435,1985,6,0.60,RTL,84.29
2024-02-01 07:22:24.372,49,1,23652,3794,6,0.60,RTL,86.08
2024-02-01 07:22:29.819,51,2,22595,1336,6,0.60,RTL,85.55
2024-02-01 07:22:34.518,39,0,60071,12635,5,0.55,LTR,90.22
2024-02-01 07:22:41.790,52,0,62478,15362,4,0.42,LTR,92.29
2024-02-01 07:22:54.110,44,1,46645,17532,6,0.62,RTL,87.88
2024-02-01 07:23:02.609,50,1,61728,10968,4,0.43,LTR,89.39
2024-02-01 07:23:10.505,49,1,27328,1723,6,0.62,RTL,84.55
2024-02-01 07:23:16.731,48,1,54413,10862,5,0.68,RTL,88.64
2024-02-01 07:23:29.221,50,1,27878,2333,6,0.60,RTL,88.13
2024-02-01 07:23:51.267,51,2,26735,1109,5,0.50,RTL,86.32
2024-02-01 07:23:55.343,50,1,29967,2597,6,0.61,RTL,85.55
2024-02-01 07:24:03.484,50,1,38866,5151,5,0.52,RTL,86.58
2024-02-01 07:24:11.708,53,1,26359,2190,6,0.60,RTL,86.06
2024-02-01 07:24:41.724,55,1,50428,5852,4,0.41,LTR,88.64
2024-02-01 07:24:49.965,56,3,58307,1467,4,0.40,LTR,86.31
2024-02-01 07:25:12.457,56,1,58558,2944,4,0.42,LTR,89.41
2024-02-01 07:25:17.205,53,1,72800,14350,4,0.40,LTR,88.64
2024-02-01 07:25:27.908,54,3,36133,3935,5,0.61,RTL,86.58
2024-02-01 07:25:37.948,54,2,38465,3837,5,0.57,RTL,88.13
2024-02-01 07:27:03.264,52,1,27539,2229,6,0.60,RTL,84.6
2024-02-01 07:27:08.588,50,1,24204,1752,6,0.60,RTL,86.6
2024-02-01 07:27:31.953,50,0,47638,640,4,0.40,LTR,86.33
2024-02-01 07:27:52.046,53,1,49917,507,4,0.39,LTR,83.48
2024-02-01 07:28:06.690,63,1,57635,2711,4,0.40,LTR,88.41
2024-02-01 07:28:30.081,55,2,42605,2198,5,0.50,RTL,89.15
2024-02-01 07:28:53.647,51,2,27660,2202,6,0.60,RTL,86.8
2024-02-01 07:29:31.357,46,1,29866,1527,6,0.62,RTL,85.05
2024-02-01 07:29:45.177,52,1,23956,1423,6,0.59,RTL,86.33
2024-02-01 07:29:57.697,64,0,75112,2798,4,0.40,LTR,92.03
2024-02-01 07:31:02.227,42,1,22675,3233,7,0.70,RTL,82.48
2024-02-01 07:31:08.270,54,1,25686,1146,5,0.50,RTL,84.55
2024-02-01 07:31:10.950,56,1,55071,16065,4,0.43,LTR,87.09
2024-02-01 07:31:21.968,53,1,36712,1327,5,0.50,RTL,89.41
2024-02-01 07:31:41.089,50,1,26990,1792,6,0.63,RTL,86.07
2024-02-01 07:32:03.676,48,1,26166,1724,6,0.62,RTL,82.48
2024-02-01 07:32:18.719,49,1,28686,637,5,0.52,RTL,86.33
2024-02-01 07:32:24.021,48,1,27061,1279,6,0.60,RTL,84.29
2024-02-01 07:33:04.176,37,1,33844,8294,8,0.82,RTL,90.73
2024-02-01 07:33:47.609,56,2,26135,385,4,0.42,RTL,87.57
2024-02-01 07:34:08.226,53,1,38055,2597,5,0.50,RTL,90.97
2024-02-01 07:34:34.841,55,1,80485,1021,4,0.39,LTR,87.88
2024-02-01 07:34:48.411,51,0,60924,1404,4,0.40,LTR,90.48
2024-02-01 07:34:52.711,57,2,28112,820,5,0.50,RTL,91.47
2024-02-01 07:35:01.934,41,1,76034,20987,5,0.55,LTR,90.24
2024-02-01 07:35:03.556,41,1,54348,1896,4,0.50,LTR,85.05
2024-02-01 07:35:05.329,38,0,66872,3085,5,0.50,LTR,85.96
2024-02-01 07:35:07.453,38,0,65116,5339,5,0.50,LTR,84.78
2024-02-01 07:35:11.478,46,1,77828,4476,4,0.43,LTR,86.58
2024-02-01 07:35:19.382,52,2,25850,564,4,0.55,RTL,86.6
2024-02-01 07:35:27.811,47,4,62960,21124,4,0.66,RTL,87.33
2024-02-01 07:35:44.570,55,0,62182,7510,4,0.41,LTR,87.06
2024-02-01 07:36:05.736,46,1,29325,612,6,0.60,RTL,83.77
2024-02-01 07:36:19.126,58,1,30333,513,4,0.42,RTL,87.07
2024-02-01 07:36:25.673,44,0,72092,16740,5,0.50,LTR,83.75
2024-02-01 07:36:50.845,52,0,53795,1539,4,0.41,LTR,86.32
2024-02-01 07:37:00.238,52,1,45202,2538,4,0.40,LTR,89.97
2024-02-01 07:37:22.452,45,2,27145,751,6,0.60,RTL,85.8
2024-02-01 07:37:28.803,49,2,26074,1802,6,0.60,RTL,85.06
2024-02-01 07:37:37.899,52,2,27452,424,4,0.45,RTL,85.82
2024-02-01 07:37:42.770,59,2,23343,393,4,0.47,RTL,86.57
2024-02-01 07:37:50.819,55,1,26267,274,5,0.53,RTL,89.4
2024-02-01 07:37:54.792,45,1,74912,2168,4,0.40,LTR,88.9
2024-02-01 07:39:03.765,51,2,30686,2785,6,0.60,RTL,85.56
2024-02-01 07:39:34.851,52,0,65420,2382,4,0.40,LTR,87.59
2024-02-01 07:39:43.523,49,0,50194,626,4,0.40,LTR,87.1
2024-02-01 07:39:49.998,60,1,42384,3672,5,0.50,RTL,90.23
2024-02-01 07:40:00.466,49,1,31033,813,5,0.58,RTL,87.58
2024-02-01 07:40:19.834,53,1,27862,585,5,0.52,RTL,83.49
2024-02-01 07:40:33.133,50,2,70604,19702,4,0.45,LTR,87.08
2024-02-01 07:40:47.651,44,1,33881,1869,4,0.45,LTR,85.03
2024-02-01 07:40:52.871,53,1,25079,872,5,0.50,RTL,87.07
2024-02-01 07:41:01.619,60,2,42822,2457,4,0.52,RTL,88.13
2024-02-01 07:41:17.986,58,1,58366,3032,4,0.40,LTR,85.04
2024-02-01 07:41:30.582,53,2,24352,610,5,0.50,RTL,85.54
2024-02-01 07:41:44.325,46,1,30302,1349,6,0.62,RTL,84.55
2024-02-01 07:41:47.154,47,1,29403,1007,6,0.60,RTL,84.03
2024-02-01 07:41:52.074,51,1,23086,1079,6,0.62,RTL,85.56
2024-02-01 07:42:02.646,51,1,81348,13461,4,0.45,LTR,88.65
2024-02-01 07:42:05.094,55,2,88149,8979,4,0.43,LTR,90.98
2024-02-01 07:42:08.167,45,0,55856,2524,4,0.42,LTR,85.3
2024-02-01 07:42:22.986,45,1,37694,8729,7,0.70,RTL,85.56
2024-02-01 07:42:30.834,53,1,30317,3332,6,0.60,RTL,89.42
2024-02-01 07:42:40.208,63,1,28828,916,4,0.50,RTL,90.48
2024-02-01 07:42:57.547,55,2,47442,7943,6,0.60,RTL,87.08
2024-02-01 07:43:14.621,52,2,26173,542,5,0.50,RTL,87.58
2024-02-01 07:43:20.793,51,0,59226,2004,4,0.40,LTR,86.05
2024-02-01 07:43:25.786,53,1,25733,707,5,0.52,RTL,85.81
2024-02-01 07:43:42.355,45,1,30874,3526,6,0.60,RTL,84.55
2024-02-01 07:43:45.454,44,1,38738,7159,7,0.69,RTL,84.02
2024-02-01 07:43:48.807,51,2,25427,765,5,0.50,RTL,85.54
2024-02-01 07:43:50.158,50,0,96396,14094,4,0.40,LTR,92.02
2024-02-01 07:43:52.430,44,1,72950,4406,4,0.50,LTR,86.32
2024-02-01 07:43:56.880,49,1,26963,1696,6,0.70,RTL,87.07
2024-02-01 07:44:31.336,55,0,69502,8114,4,0.40,LTR,85.32
2024-02-01 07:44:38.809,49,1,28595,2016,6,0.62,RTL,86.07
2024-02-01 07:44:54.202,44,0,80925,20227,5,0.50,LTR,95.08
2024-02-01 07:44:56.427,44,1,59720,3646,5,0.50,LTR,86.32
2024-02-01 07:44:59.650,56,2,80062,2258,4,0.40,LTR,89.4
2024-02-01 07:45:18.043,55,1,73134,2070,4,0.40,LTR,89.96
2024-02-01 07:46:10.101,56,1,27210,1201,5,0.50,RTL,86.57
2024-02-01 07:46:28.316,49,1,26298,862,6,0.60,RTL,85.05
2024-02-01 07:46:41.911,53,1,66959,6457,4,0.40,LTR,86.57
2024-02-01 07:46:50.383,51,1,33986,774,5,0.50,RTL,88.13
2024-02-01 07:46:53.207,49,1,28773,1167,5,0.52,RTL,86.32
2024-02-01 07:46:58.183,40,1,30231,3470,7,0.70,RTL,83.48
2024-02-01 07:47:03.603,40,1,24836,2742,6,0.75,RTL,79.16
2024-02-01 07:47:27.468,36,4,80558,16379,5,0.50,LTR,88.87
2024-02-01 07:47:31.542,39,0,70280,7947,5,0.50,LTR,82.97
2024-02-01 07:47:33.416,42,0,75688,11504,4,0.40,LTR,85.55
2024-02-01 07:47:35.245,41,0,62965,6705,5,0.50,LTR,84.29
2024-02-01 07:47:37.423,37,0,51777,8685,6,0.61,LTR,82.22
2024-02-01 07:47:54.738,48,1,28345,1383,6,0.60,RTL,85.29
2024-02-01 07:48:03.956,44,0,84280,14620,4,0.45,LTR,94.83
2024-02-01 07:48:41.815,51,0,60671,4401,4,0.40,LTR,88.4
2024-02-01 07:48:43.764,52,1,59371,4955,4,0.42,LTR,88.12
2024-02-01 07:48:49.839,60,1,66908,2308,4,0.40,LTR,90.73
2024-02-01 07:48:57.610,54,2,24026,627,5,0.57,RTL,83.23
2024-02-01 07:49:40.027,49,0,51762,4680,4,0.41,LTR,87.07
2024-02-01 07:50:18.403,47,1,69444,10725,5,0.50,LTR,87.88
2024-02-01 07:50:53.815,51,1,67906,370,4,0.40,LTR,88.64
2024-02-01 07:51:00.240,51,1,29787,653,5,0.50,RTL,87.99
2024-02-01 07:51:07.287,52,1,36350,386,4,0.53,RTL,87.33
2024-02-01 07:51:34.828,55,1,26367,917,5,0.50,RTL,84.78
2024-02-01 07:51:45.370,50,1,33500,1058,5,0.55,RTL,87.6
2024-02-01 07:52:20.610,50,1,92014,14380,4,0.40,LTR,90.99
2024-02-01 07:52:22.081,48,0,69492,642,4,0.40,LTR,86.33
2024-02-01 07:52:45.699,50,1,60005,755,4,0.40,LTR,86.07
2024-02-01 07:52:47.150,47,0,69006,116,4,0.40,LTR,86.58
2024-02-01 07:53:10.663,53,0,76516,10492,4,0.42,LTR,87.35
2024-02-01 07:53:20.508,64,11,57806,2534,4,0.40,RTL,90.73
2024-02-01 07:53:25.935,46,1,27626,359,5,0.50,RTL,85.54
2024-02-01 07:53:59.268,48,0,53604,3228,4,0.40,LTR,87.87
2024-02-01 07:54:14.367,56,1,78238,7444,4,0.40,LTR,89.42
2024-02-01 07:54:15.712,53,1,78383,14892,4,0.40,LTR,87.88
2024-02-01 07:54:19.235,57,0,67391,7239,4,0.40,LTR,87.6
2024-02-01 07:56:03.945,52,0,84704,10928,4,0.40,LTR,87.32
2024-02-01 07:56:06.673,47,1,41904,4508,6,0.60,RTL,85.83
2024-02-01 07:56:09.649,48,1,25173,1125,6,0.61,RTL,84.54
2024-02-01 07:56:13.870,55,3,39711,4092,5,0.55,RTL,88.13
2024-02-01 07:56:36.008,51,1,48801,69,4,0.40,LTR,88.38
2024-02-01 07:56:37.736,57,1,59498,3106,4,0.40,LTR,86.58
2024-02-01 07:56:57.425,61,3,46258,1366,4,0.42,RTL,88.87
2024-02-01 07:57:36.809,50,0,64363,10166,4,0.42,LTR,89.15
2024-02-01 07:57:51.804,48,1,31702,3379,6,0.60,RTL,82.97
2024-02-01 07:58:02.703,44,1,35322,4982,6,0.60,RTL,87.33
2024-02-01 07:58:10.575,55,1,25026,1518,5,0.50,RTL,87.07
2024-02-01 07:58:59.482,45,1,31296,3274,6,0.60,RTL,86.81
2024-02-01 07:59:22.719,63,2,31266,1122,5,0.50,RTL,90.96
2024-02-01 07:59:45.213,49,1,22821,887,6,0.60,RTL,85.8
2024-02-01 07:59:47.734,48,1,25355,2425,6,0.62,RTL,86.8
2024-02-01 07:59:56.634,52,2,37358,2894,4,0.55,RTL,87.89
2024-02-01 08:00:08.077,41,1,33965,7702,7,0.70,RTL,84.28
2024-02-01 08:00:22.696,56,1,56620,2900,4,0.40,LTR,86.58
2024-02-01 08:00:37.339,44,1,18774,820,6,0.59,RTL,83.49
2024-02-01 08:00:39.769,43,1,25812,3583,7,0.70,RTL,84.04
2024-02-01 08:00:51.710,46,0,59034,9122,5,0.52,LTR,86.58
2024-02-01 08:00:52.938,44,1,58114,6502,4,0.45,LTR,85.57
2024-02-01 08:02:03.431,57,2,32441,856,5,0.50,RTL,88.65
2024-02-01 08:02:06.181,55,2,25191,1316,5,0.55,RTL,85.03
2024-02-01 08:02:24.749,52,0,62150,5890,4,0.40,LTR,86.82
